plant_id,Row,Range,Row_Range,id
20RITI20001,1,1,1_1,1
20RITI20002,1,2,1_2,19
20RITI20003,1,3,1_3,37
20RITI20004,1,4,1_4,55
20RITI20005,1,5,1_5,73
20RITI20006,1,6,1_6,91
20RITI20007,1,7,1_7,109
20RITI20008,1,8,1_8,127
20RITI20009,1,9,1_9,145
20RITI20010,1,10,1_10,163
20RITI20011,1,11,1_11,181
20RITI20012,1,12,1_12,199
20RITI20013,1,13,1_13,217
20RITI20014,1,14,1_14,235
20RITI20015,1,15,1_15,253
20RITI20016,1,16,1_16,271
20RITI20017,1,17,1_17,289
20RITI20018,1,18,1_18,307
20RITI20019,1,19,1_19,325
20RITI20020,1,20,1_20,343
20RITI20021,1,21,1_21,361
20RITI20022,1,22,1_22,379
20RITI20023,1,23,1_23,397
20RITI20024,1,24,1_24,415
20RITI20025,1,25,1_25,433
20RITI20026,1,26,1_26,451
20RITI20027,1,27,1_27,469
20RITI20028,1,28,1_28,487
20RITI20029,1,29,1_29,505
20RITI20030,1,30,1_30,523
20RITI20031,1,31,1_31,541
20RITI20032,1,32,1_32,559
20RITI20033,1,33,1_33,577
20RITI20034,1,34,1_34,595
20RITI20035,1,35,1_35,613
20RITI20036,1,36,1_36,631
20RITI20037,1,37,1_37,649
20RITI20038,1,38,1_38,667
20RITI20039,1,39,1_39,685
20RITI20040,1,40,1_40,703
20RITI20041,1,41,1_41,721
20RITI20042,1,42,1_42,739
20RITI20043,1,43,1_43,757
20RITI20044,1,44,1_44,775
20RITI20045,1,45,1_45,793
20RITI20046,1,46,1_46,811
20RITI20047,1,47,1_47,829
20RITI20048,1,48,1_48,847
20RITI20049,1,49,1_49,865
20RITI20050,1,50,1_50,883
20RITI20051,1,51,1_51,901
20RITI20052,1,52,1_52,919
20RITI20053,1,53,1_53,937
20RITI20054,1,54,1_54,955
20RITI20055,1,55,1_55,973
20RITI20056,1,56,1_56,991
20RITI20057,1,57,1_57,1009
20RITI20058,1,58,1_58,1027
20RITI20059,1,59,1_59,1045
20RITI20060,1,60,1_60,1063
20RITI20061,1,61,1_61,1081
20RITI20062,1,62,1_62,1099
20RITI20063,1,63,1_63,1117
20RITI20064,1,64,1_64,1135
20RITI20065,1,65,1_65,1153
20RITI20066,1,66,1_66,1171
20RITI20067,1,67,1_67,1189
20RITI20068,1,68,1_68,1207
20RITI20069,1,69,1_69,1225
20RITI20070,1,70,1_70,1243
20RITI20071,1,71,1_71,1261
20RITI20072,1,72,1_72,1279
20RITI20073,1,73,1_73,1297
20RITI20074,1,74,1_74,1315
20RITI20075,1,75,1_75,1333
20RITI20076,1,76,1_76,1351
20RITI20077,1,77,1_77,1369
20RITI20078,1,78,1_78,1387
20RITI20079,1,79,1_79,1405
20RITI20080,1,80,1_80,1423
20RITI20081,1,81,1_81,1441
20RITI20082,1,82,1_82,1459
20RITI20083,1,83,1_83,1477
20RITI20084,1,84,1_84,1495
20RITI20085,1,85,1_85,1513
20RITI20086,1,86,1_86,1531
20RITI20087,1,87,1_87,1549
20RITI20088,1,88,1_88,1567
20RITI20089,1,89,1_89,1585
20RITI20090,1,90,1_90,1603
20RITI20091,1,91,1_91,1621
20RITI20092,1,92,1_92,1639
20RITI20093,1,93,1_93,1657
20RITI20094,1,94,1_94,1675
20RITI20095,1,95,1_95,1693
20RITI20096,1,96,1_96,1711
20RITI20097,1,97,1_97,1729
20RITI20098,1,98,1_98,1747
20RITI20099,1,99,1_99,1765
20RITI20100,1,100,1_100,1783
20RITI20101,2,1,2_1,2
20RITI20102,2,2,2_2,20
20RITI20103,2,3,2_3,38
20RITI20104,2,4,2_4,56
20RITI20105,2,5,2_5,74
20RITI20106,2,6,2_6,92
20RITI20107,2,7,2_7,110
20RITI20108,2,8,2_8,128
20RITI20109,2,9,2_9,146
20RITI20110,2,10,2_10,164
20RITI20111,2,11,2_11,182
20RITI20112,2,12,2_12,200
20RITI20113,2,13,2_13,218
20RITI20114,2,14,2_14,236
20RITI20115,2,15,2_15,254
20RITI20116,2,16,2_16,272
20RITI20117,2,17,2_17,290
20RITI20118,2,18,2_18,308
20RITI20119,2,19,2_19,326
20RITI20120,2,20,2_20,344
20RITI20121,2,21,2_21,362
20RITI20122,2,22,2_22,380
20RITI20123,2,23,2_23,398
20RITI20124,2,24,2_24,416
20RITI20125,2,25,2_25,434
20RITI20126,2,26,2_26,452
20RITI20127,2,27,2_27,470
20RITI20128,2,28,2_28,488
20RITI20129,2,29,2_29,506
20RITI20130,2,30,2_30,524
20RITI20131,2,31,2_31,542
20RITI20132,2,32,2_32,560
20RITI20133,2,33,2_33,578
20RITI20134,2,34,2_34,596
20RITI20135,2,35,2_35,614
20RITI20136,2,36,2_36,632
20RITI20137,2,37,2_37,650
20RITI20138,2,38,2_38,668
20RITI20139,2,39,2_39,686
20RITI20140,2,40,2_40,704
20RITI20141,2,41,2_41,722
20RITI20142,2,42,2_42,740
20RITI20143,2,43,2_43,758
20RITI20144,2,44,2_44,776
20RITI20145,2,45,2_45,794
20RITI20146,2,46,2_46,812
20RITI20147,2,47,2_47,830
20RITI20148,2,48,2_48,848
20RITI20149,2,49,2_49,866
20RITI20150,2,50,2_50,884
20RITI20151,2,51,2_51,902
20RITI20152,2,52,2_52,920
20RITI20153,2,53,2_53,938
20RITI20154,2,54,2_54,956
20RITI20155,2,55,2_55,974
20RITI20156,2,56,2_56,992
20RITI20157,2,57,2_57,1010
20RITI20158,2,58,2_58,1028
20RITI20159,2,59,2_59,1046
20RITI20160,2,60,2_60,1064
20RITI20161,2,61,2_61,1082
20RITI20162,2,62,2_62,1100
20RITI20163,2,63,2_63,1118
20RITI20164,2,64,2_64,1136
20RITI20165,2,65,2_65,1154
20RITI20166,2,66,2_66,1172
20RITI20167,2,67,2_67,1190
20RITI20168,2,68,2_68,1208
20RITI20169,2,69,2_69,1226
20RITI20170,2,70,2_70,1244
20RITI20171,2,71,2_71,1262
20RITI20172,2,72,2_72,1280
20RITI20173,2,73,2_73,1298
20RITI20174,2,74,2_74,1316
20RITI20175,2,75,2_75,1334
20RITI20176,2,76,2_76,1352
20RITI20177,2,77,2_77,1370
20RITI20178,2,78,2_78,1388
20RITI20179,2,79,2_79,1406
20RITI20180,2,80,2_80,1424
20RITI20181,2,81,2_81,1442
20RITI20182,2,82,2_82,1460
20RITI20183,2,83,2_83,1478
20RITI20184,2,84,2_84,1496
20RITI20185,2,85,2_85,1514
20RITI20186,2,86,2_86,1532
20RITI20187,2,87,2_87,1550
20RITI20188,2,88,2_88,1568
20RITI20189,2,89,2_89,1586
20RITI20190,2,90,2_90,1604
20RITI20191,2,91,2_91,1622
20RITI20192,2,92,2_92,1640
20RITI20193,2,93,2_93,1658
20RITI20194,2,94,2_94,1676
20RITI20195,2,95,2_95,1694
20RITI20196,2,96,2_96,1712
20RITI20197,2,97,2_97,1730
20RITI20198,2,98,2_98,1748
20RITI20199,2,99,2_99,1766
20RITI20200,2,100,2_100,1784
20RITI20201,3,1,3_1,3
20RITI20202,3,2,3_2,21
20RITI20203,3,3,3_3,39
20RITI20204,3,4,3_4,57
20RITI20205,3,5,3_5,75
20RITI20206,3,6,3_6,93
20RITI20207,3,7,3_7,111
20RITI20208,3,8,3_8,129
20RITI20209,3,9,3_9,147
20RITI20210,3,10,3_10,165
20RITI20211,3,11,3_11,183
20RITI20212,3,12,3_12,201
20RITI20213,3,13,3_13,219
20RITI20214,3,14,3_14,237
20RITI20215,3,15,3_15,255
20RITI20216,3,16,3_16,273
20RITI20217,3,17,3_17,291
20RITI20218,3,18,3_18,309
20RITI20219,3,19,3_19,327
20RITI20220,3,20,3_20,345
20RITI20221,3,21,3_21,363
20RITI20222,3,22,3_22,381
20RITI20223,3,23,3_23,399
20RITI20224,3,24,3_24,417
20RITI20225,3,25,3_25,435
20RITI20226,3,26,3_26,453
20RITI20227,3,27,3_27,471
20RITI20228,3,28,3_28,489
20RITI20229,3,29,3_29,507
20RITI20230,3,30,3_30,525
20RITI20231,3,31,3_31,543
20RITI20232,3,32,3_32,561
20RITI20233,3,33,3_33,579
20RITI20234,3,34,3_34,597
20RITI20235,3,35,3_35,615
20RITI20236,3,36,3_36,633
20RITI20237,3,37,3_37,651
20RITI20238,3,38,3_38,669
20RITI20239,3,39,3_39,687
20RITI20240,3,40,3_40,705
20RITI20241,3,41,3_41,723
20RITI20242,3,42,3_42,741
20RITI20243,3,43,3_43,759
20RITI20244,3,44,3_44,777
20RITI20245,3,45,3_45,795
20RITI20246,3,46,3_46,813
20RITI20247,3,47,3_47,831
20RITI20248,3,48,3_48,849
20RITI20249,3,49,3_49,867
20RITI20250,3,50,3_50,885
20RITI20251,3,51,3_51,903
20RITI20252,3,52,3_52,921
20RITI20253,3,53,3_53,939
20RITI20254,3,54,3_54,957
20RITI20255,3,55,3_55,975
20RITI20256,3,56,3_56,993
20RITI20257,3,57,3_57,1011
20RITI20258,3,58,3_58,1029
20RITI20259,3,59,3_59,1047
20RITI20260,3,60,3_60,1065
20RITI20261,3,61,3_61,1083
20RITI20262,3,62,3_62,1101
20RITI20263,3,63,3_63,1119
20RITI20264,3,64,3_64,1137
20RITI20265,3,65,3_65,1155
20RITI20266,3,66,3_66,1173
20RITI20267,3,67,3_67,1191
20RITI20268,3,68,3_68,1209
20RITI20269,3,69,3_69,1227
20RITI20270,3,70,3_70,1245
20RITI20271,3,71,3_71,1263
20RITI20272,3,72,3_72,1281
20RITI20273,3,73,3_73,1299
20RITI20274,3,74,3_74,1317
20RITI20275,3,75,3_75,1335
20RITI20276,3,76,3_76,1353
20RITI20277,3,77,3_77,1371
20RITI20278,3,78,3_78,1389
20RITI20279,3,79,3_79,1407
20RITI20280,3,80,3_80,1425
20RITI20281,3,81,3_81,1443
20RITI20282,3,82,3_82,1461
20RITI20283,3,83,3_83,1479
20RITI20284,3,84,3_84,1497
20RITI20285,3,85,3_85,1515
20RITI20286,3,86,3_86,1533
20RITI20287,3,87,3_87,1551
20RITI20288,3,88,3_88,1569
20RITI20289,3,89,3_89,1587
20RITI20290,3,90,3_90,1605
20RITI20291,3,91,3_91,1623
20RITI20292,3,92,3_92,1641
20RITI20293,3,93,3_93,1659
20RITI20294,3,94,3_94,1677
20RITI20295,3,95,3_95,1695
20RITI20296,3,96,3_96,1713
20RITI20297,3,97,3_97,1731
20RITI20298,3,98,3_98,1749
20RITI20299,3,99,3_99,1767
20RITI20300,3,100,3_100,1785
20RITI20301,4,1,4_1,4
20RITI20302,4,2,4_2,22
20RITI20303,4,3,4_3,40
20RITI20304,4,4,4_4,58
20RITI20305,4,5,4_5,76
20RITI20306,4,6,4_6,94
20RITI20307,4,7,4_7,112
20RITI20308,4,8,4_8,130
20RITI20309,4,9,4_9,148
20RITI20310,4,10,4_10,166
20RITI20311,4,11,4_11,184
20RITI20312,4,12,4_12,202
20RITI20313,4,13,4_13,220
20RITI20314,4,14,4_14,238
20RITI20315,4,15,4_15,256
20RITI20316,4,16,4_16,274
20RITI20317,4,17,4_17,292
20RITI20318,4,18,4_18,310
20RITI20319,4,19,4_19,328
20RITI20320,4,20,4_20,346
20RITI20321,4,21,4_21,364
20RITI20322,4,22,4_22,382
20RITI20323,4,23,4_23,400
20RITI20324,4,24,4_24,418
20RITI20325,4,25,4_25,436
20RITI20326,4,26,4_26,454
20RITI20327,4,27,4_27,472
20RITI20328,4,28,4_28,490
20RITI20329,4,29,4_29,508
20RITI20330,4,30,4_30,526
20RITI20331,4,31,4_31,544
20RITI20332,4,32,4_32,562
20RITI20333,4,33,4_33,580
20RITI20334,4,34,4_34,598
20RITI20335,4,35,4_35,616
20RITI20336,4,36,4_36,634
20RITI20337,4,37,4_37,652
20RITI20338,4,38,4_38,670
20RITI20339,4,39,4_39,688
20RITI20340,4,40,4_40,706
20RITI20341,4,41,4_41,724
20RITI20342,4,42,4_42,742
20RITI20343,4,43,4_43,760
20RITI20344,4,44,4_44,778
20RITI20345,4,45,4_45,796
20RITI20346,4,46,4_46,814
20RITI20347,4,47,4_47,832
20RITI20348,4,48,4_48,850
20RITI20349,4,49,4_49,868
20RITI20350,4,50,4_50,886
20RITI20351,4,51,4_51,904
20RITI20352,4,52,4_52,922
20RITI20353,4,53,4_53,940
20RITI20354,4,54,4_54,958
20RITI20355,4,55,4_55,976
20RITI20356,4,56,4_56,994
20RITI20357,4,57,4_57,1012
20RITI20358,4,58,4_58,1030
20RITI20359,4,59,4_59,1048
20RITI20360,4,60,4_60,1066
20RITI20361,4,61,4_61,1084
20RITI20362,4,62,4_62,1102
20RITI20363,4,63,4_63,1120
20RITI20364,4,64,4_64,1138
20RITI20365,4,65,4_65,1156
20RITI20366,4,66,4_66,1174
20RITI20367,4,67,4_67,1192
20RITI20368,4,68,4_68,1210
20RITI20369,4,69,4_69,1228
20RITI20370,4,70,4_70,1246
20RITI20371,4,71,4_71,1264
20RITI20372,4,72,4_72,1282
20RITI20373,4,73,4_73,1300
20RITI20374,4,74,4_74,1318
20RITI20375,4,75,4_75,1336
20RITI20376,4,76,4_76,1354
20RITI20377,4,77,4_77,1372
20RITI20378,4,78,4_78,1390
20RITI20379,4,79,4_79,1408
20RITI20380,4,80,4_80,1426
20RITI20381,4,81,4_81,1444
20RITI20382,4,82,4_82,1462
20RITI20383,4,83,4_83,1480
20RITI20384,4,84,4_84,1498
20RITI20385,4,85,4_85,1516
20RITI20386,4,86,4_86,1534
20RITI20387,4,87,4_87,1552
20RITI20388,4,88,4_88,1570
20RITI20389,4,89,4_89,1588
20RITI20390,4,90,4_90,1606
20RITI20391,4,91,4_91,1624
20RITI20392,4,92,4_92,1642
20RITI20393,4,93,4_93,1660
20RITI20394,4,94,4_94,1678
20RITI20395,4,95,4_95,1696
20RITI20396,4,96,4_96,1714
20RITI20397,4,97,4_97,1732
20RITI20398,4,98,4_98,1750
20RITI20399,4,99,4_99,1768
20RITI20400,4,100,4_100,1786
20RITI20401,5,1,5_1,5
20RITI20402,5,2,5_2,23
20RITI20403,5,3,5_3,41
20RITI20404,5,4,5_4,59
20RITI20405,5,5,5_5,77
20RITI20406,5,6,5_6,95
20RITI20407,5,7,5_7,113
20RITI20408,5,8,5_8,131
20RITI20409,5,9,5_9,149
20RITI20410,5,10,5_10,167
20RITI20411,5,11,5_11,185
20RITI20412,5,12,5_12,203
20RITI20413,5,13,5_13,221
20RITI20414,5,14,5_14,239
20RITI20415,5,15,5_15,257
20RITI20416,5,16,5_16,275
20RITI20417,5,17,5_17,293
20RITI20418,5,18,5_18,311
20RITI20419,5,19,5_19,329
20RITI20420,5,20,5_20,347
20RITI20421,5,21,5_21,365
20RITI20422,5,22,5_22,383
20RITI20423,5,23,5_23,401
20RITI20424,5,24,5_24,419
20RITI20425,5,25,5_25,437
20RITI20426,5,26,5_26,455
20RITI20427,5,27,5_27,473
20RITI20428,5,28,5_28,491
20RITI20429,5,29,5_29,509
20RITI20430,5,30,5_30,527
20RITI20431,5,31,5_31,545
20RITI20432,5,32,5_32,563
20RITI20433,5,33,5_33,581
20RITI20434,5,34,5_34,599
20RITI20435,5,35,5_35,617
20RITI20436,5,36,5_36,635
20RITI20437,5,37,5_37,653
20RITI20438,5,38,5_38,671
20RITI20439,5,39,5_39,689
20RITI20440,5,40,5_40,707
20RITI20441,5,41,5_41,725
20RITI20442,5,42,5_42,743
20RITI20443,5,43,5_43,761
20RITI20444,5,44,5_44,779
20RITI20445,5,45,5_45,797
20RITI20446,5,46,5_46,815
20RITI20447,5,47,5_47,833
20RITI20448,5,48,5_48,851
20RITI20449,5,49,5_49,869
20RITI20450,5,50,5_50,887
20RITI20451,5,51,5_51,905
20RITI20452,5,52,5_52,923
20RITI20453,5,53,5_53,941
20RITI20454,5,54,5_54,959
20RITI20455,5,55,5_55,977
20RITI20456,5,56,5_56,995
20RITI20457,5,57,5_57,1013
20RITI20458,5,58,5_58,1031
20RITI20459,5,59,5_59,1049
20RITI20460,5,60,5_60,1067
20RITI20461,5,61,5_61,1085
20RITI20462,5,62,5_62,1103
20RITI20463,5,63,5_63,1121
20RITI20464,5,64,5_64,1139
20RITI20465,5,65,5_65,1157
20RITI20466,5,66,5_66,1175
20RITI20467,5,67,5_67,1193
20RITI20468,5,68,5_68,1211
20RITI20469,5,69,5_69,1229
20RITI20470,5,70,5_70,1247
20RITI20471,5,71,5_71,1265
20RITI20472,5,72,5_72,1283
20RITI20473,5,73,5_73,1301
20RITI20474,5,74,5_74,1319
20RITI20475,5,75,5_75,1337
20RITI20476,5,76,5_76,1355
20RITI20477,5,77,5_77,1373
20RITI20478,5,78,5_78,1391
20RITI20479,5,79,5_79,1409
20RITI20480,5,80,5_80,1427
20RITI20481,5,81,5_81,1445
20RITI20482,5,82,5_82,1463
20RITI20483,5,83,5_83,1481
20RITI20484,5,84,5_84,1499
20RITI20485,5,85,5_85,1517
20RITI20486,5,86,5_86,1535
20RITI20487,5,87,5_87,1553
20RITI20488,5,88,5_88,1571
20RITI20489,5,89,5_89,1589
20RITI20490,5,90,5_90,1607
20RITI20491,5,91,5_91,1625
20RITI20492,5,92,5_92,1643
20RITI20493,5,93,5_93,1661
20RITI20494,5,94,5_94,1679
20RITI20495,5,95,5_95,1697
20RITI20496,5,96,5_96,1715
20RITI20497,5,97,5_97,1733
20RITI20498,5,98,5_98,1751
20RITI20499,5,99,5_99,1769
20RITI20500,5,100,5_100,1787
20RITI20501,6,1,6_1,6
20RITI20502,6,2,6_2,24
20RITI20503,6,3,6_3,42
20RITI20504,6,4,6_4,60
20RITI20505,6,5,6_5,78
20RITI20506,6,6,6_6,96
20RITI20507,6,7,6_7,114
20RITI20508,6,8,6_8,132
20RITI20509,6,9,6_9,150
20RITI20510,6,10,6_10,168
20RITI20511,6,11,6_11,186
20RITI20512,6,12,6_12,204
20RITI20513,6,13,6_13,222
20RITI20514,6,14,6_14,240
20RITI20515,6,15,6_15,258
20RITI20516,6,16,6_16,276
20RITI20517,6,17,6_17,294
20RITI20518,6,18,6_18,312
20RITI20519,6,19,6_19,330
20RITI20520,6,20,6_20,348
20RITI20521,6,21,6_21,366
20RITI20522,6,22,6_22,384
20RITI20523,6,23,6_23,402
20RITI20524,6,24,6_24,420
20RITI20525,6,25,6_25,438
20RITI20526,6,26,6_26,456
20RITI20527,6,27,6_27,474
20RITI20528,6,28,6_28,492
20RITI20529,6,29,6_29,510
20RITI20530,6,30,6_30,528
20RITI20531,6,31,6_31,546
20RITI20532,6,32,6_32,564
20RITI20533,6,33,6_33,582
20RITI20534,6,34,6_34,600
20RITI20535,6,35,6_35,618
20RITI20536,6,36,6_36,636
20RITI20537,6,37,6_37,654
20RITI20538,6,38,6_38,672
20RITI20539,6,39,6_39,690
20RITI20540,6,40,6_40,708
20RITI20541,6,41,6_41,726
20RITI20542,6,42,6_42,744
20RITI20543,6,43,6_43,762
20RITI20544,6,44,6_44,780
20RITI20545,6,45,6_45,798
20RITI20546,6,46,6_46,816
20RITI20547,6,47,6_47,834
20RITI20548,6,48,6_48,852
20RITI20549,6,49,6_49,870
20RITI20550,6,50,6_50,888
20RITI20551,6,51,6_51,906
20RITI20552,6,52,6_52,924
20RITI20553,6,53,6_53,942
20RITI20554,6,54,6_54,960
20RITI20555,6,55,6_55,978
20RITI20556,6,56,6_56,996
20RITI20557,6,57,6_57,1014
20RITI20558,6,58,6_58,1032
20RITI20559,6,59,6_59,1050
20RITI20560,6,60,6_60,1068
20RITI20561,6,61,6_61,1086
20RITI20562,6,62,6_62,1104
20RITI20563,6,63,6_63,1122
20RITI20564,6,64,6_64,1140
20RITI20565,6,65,6_65,1158
20RITI20566,6,66,6_66,1176
20RITI20567,6,67,6_67,1194
20RITI20568,6,68,6_68,1212
20RITI20569,6,69,6_69,1230
20RITI20570,6,70,6_70,1248
20RITI20571,6,71,6_71,1266
20RITI20572,6,72,6_72,1284
20RITI20573,6,73,6_73,1302
20RITI20574,6,74,6_74,1320
20RITI20575,6,75,6_75,1338
20RITI20576,6,76,6_76,1356
20RITI20577,6,77,6_77,1374
20RITI20578,6,78,6_78,1392
20RITI20579,6,79,6_79,1410
20RITI20580,6,80,6_80,1428
20RITI20581,6,81,6_81,1446
20RITI20582,6,82,6_82,1464
20RITI20583,6,83,6_83,1482
20RITI20584,6,84,6_84,1500
20RITI20585,6,85,6_85,1518
20RITI20586,6,86,6_86,1536
20RITI20587,6,87,6_87,1554
20RITI20588,6,88,6_88,1572
20RITI20589,6,89,6_89,1590
20RITI20590,6,90,6_90,1608
20RITI20591,6,91,6_91,1626
20RITI20592,6,92,6_92,1644
20RITI20593,6,93,6_93,1662
20RITI20594,6,94,6_94,1680
20RITI20595,6,95,6_95,1698
20RITI20596,6,96,6_96,1716
20RITI20597,6,97,6_97,1734
20RITI20598,6,98,6_98,1752
20RITI20599,6,99,6_99,1770
20RITI20600,6,100,6_100,1788
20RITI20601,7,1,7_1,7
20RITI20602,7,2,7_2,25
20RITI20603,7,3,7_3,43
20RITI20604,7,4,7_4,61
20RITI20605,7,5,7_5,79
20RITI20606,7,6,7_6,97
20RITI20607,7,7,7_7,115
20RITI20608,7,8,7_8,133
20RITI20609,7,9,7_9,151
20RITI20610,7,10,7_10,169
20RITI20611,7,11,7_11,187
20RITI20612,7,12,7_12,205
20RITI20613,7,13,7_13,223
20RITI20614,7,14,7_14,241
20RITI20615,7,15,7_15,259
20RITI20616,7,16,7_16,277
20RITI20617,7,17,7_17,295
20RITI20618,7,18,7_18,313
20RITI20619,7,19,7_19,331
20RITI20620,7,20,7_20,349
20RITI20621,7,21,7_21,367
20RITI20622,7,22,7_22,385
